feature,k0_1,k0_2,k0_3,k0_4,k0_pre,gamma,G_OH,G_O,scaling_OOH_OH,E0_pre,Cdl,Ru,A
DC shape[79],-1.9430076901000235e-05,3.5154798911170274e-05,0.049228493685933766,-3.167615318033393e-08,2.720753540538561e-06,0.04869265237292126,0.18371269625679543,-0.18366861276421276,-0.4233955657264806,9.793503902149552e-05,-0.05061295467439987,0.0020859929559656366,0.021013272864784587
DC shape[80],-3.202705532612959e-06,3.506556690706003e-05,0.049600925861482736,1.486919134560676e-07,5.2581995430613096e-06,0.04902492556324069,0.1842342588960289,-0.1843033137454104,-0.42674098814689054,-6.151342597905545e-05,-0.1605337269235067,0.002097379056522637,0.021050708465230578
DC shape[81],2.0905816844982107e-05,3.5297345307244974e-05,0.049981879761352016,-3.572769936154289e-07,-8.015223498403279e-07,0.049417492660790714,0.18522372643990034,-0.18530864433954333,-0.4301380249377122,-0.00014258438195963256,-0.24633161854928048,0.0021132432688612287,0.02114510788703608
DC shape[82],6.703727766597342e-06,3.560638385140467e-05,0.05037907883307696,1.310767842134599e-07,-3.518443265677476e-06,0.04988173028440819,0.18670049194018223,-0.18667745083379453,-0.43364935701471685,1.699031998189645e-06,-0.14641626070529473,0.0021354181542945294,0.021434180174156645
DC shape[83],-1.8184863898327814e-05,3.594937823371969e-05,0.05079601287116036,4.760402146035411e-08,1.8335631537062626e-06,0.0503242380386025,0.1884447184416367,-0.1883935274719871,-0.43728794993425396,9.748963351055638e-05,-0.058977839871565456,0.0021548725744197413,0.021704226715040027
DC shape[84],-6.827788599566421e-06,3.617135706233183e-05,0.05122766271279188,-1.7666596046532138e-07,5.2345770482676705e-06,0.05072475363662491,0.19035802644955047,-0.1904177011758929,-0.4410021196139315,-3.711446254717732e-05,-0.12685014416961418,0.0021695366782163114,0.021789601065074903
DC shape[85],1.9225808623269577e-05,3.5920236527582624e-05,0.051665478124681995,1.9880322402912777e-07,5.720943215150519e-08,0.05117025762981714,0.19257313688162445,-0.19266953376591356,-0.4447134510193321,-0.00015394678567816233,-0.20403872305660636,0.0021877798487846753,0.021889848606197186
DC shape[86],1.0796243209698272e-05,3.600235834489828e-05,0.05210237464030165,-2.38903190925422e-07,-3.5082026205617674e-06,0.05167981678459019,0.19501041971926994,-0.19500936032377775,-0.4483456919143465,-2.626285772628907e-05,-0.14920127586338194,0.0022120984512655952,0.022193506327027653
DC shape[87],-1.70147878228056e-05,3.615132811187459e-05,0.05252080811932512,1.2781092034337157e-07,1.605281075475131e-06,0.05214445974409236,0.19729473893337907,-0.1972422683066748,-0.4517648633467365,9.655159193792869e-05,-0.0014786752857020523,0.0022335677141953605,0.022490191930017493
DC shape[88],-9.735832896306014e-06,3.7207637355533833e-05,0.052892668787415255,7.206174661645577e-07,4.838359028048736e-06,0.0524990341766029,0.1991431406333186,-0.1991852246790936,-0.4547347756623518,-1.6838589151090832e-05,-0.07779559923430465,0.002247244563850876,0.022581374235657172
DC shape[89],1.75910662769264e-05,3.6552063372285106e-05,0.05318520096599569,2.0218277463692797e-07,1.331086576108568e-06,0.052797694065038106,0.20050696274417634,-0.20060799369669147,-0.45699992113197657,-0.0001553376097499198,-0.17794501054347714,0.0022591772109010946,0.022613931431380973
DC shape[90],1.4292983038380867e-05,3.680445181648742e-05,0.05336890484526917,3.4366449396851726e-07,-3.257046694260015e-06,0.05305608873566344,0.20127380946434734,-0.20129272564566794,-0.4583441984733843,-6.199939432154e-05,-0.10037220818432578,0.0022727587251133922,0.0227857962276915
DC shape[91],-1.4242247463286789e-05,3.654189347594181e-05,0.05341627483118049,-4.289025069862771e-07,1.1070060448203354e-06,0.05316703422177661,0.20107658242594648,-0.20102484617917463,-0.45856691996379384,8.654693119026413e-05,0.009680363063308573,0.002279612726239234,0.022949974916474263
DC shape[92],-1.3534989242338992e-05,3.641110826187793e-05,0.05330160232810082,4.417152918764785e-08,5.711047889500685e-06,0.05304475871338623,0.1996547477780324,-0.19968461017439515,-0.45744759528414247,6.530396317221681e-06,-0.006066112489928446,0.0022729936015865215,0.022854238364530054
DC shape[93],1.5317072157930556e-05,3.6684148236979254e-05,0.053003162506655516,1.6172382475552125e-07,1.9305156719513944e-06,0.05274342304100091,0.19708117996877098,-0.19718668058001854,-0.4548281679566895,-0.0001547367967453373,-0.18168004680105115,0.0022583814008399344,0.022610729059885256
